"circleX","circleY","clickX","clickY","dimensions__width","dimensions__height","timeTaken","displacement","radius"
"561","296","516","243","84","84","0.701","772.2240607492103","42"
"769","398","703","325","117","117","0.561","231.66354913969525","58.5"
"527","695","470","648","104","104","0.733","383.109644879896","52"
"212","250","145","203","91","91","0.68","545.2063829413592","45.5"
"769","110","745","79","43","43","1.495","574.3248209854768","21.5"
"1171","550","1131","507","75","75","0.761","595.9899328008821","37.5"
"818","716","787","703","63","63","0.832","390.0833244321013","31.5"
"610","157","558","116","110","110","0.756","596.4436268416321","55"
"1248","174","1187","106","93","93","0.911","638.2264488408483","46.5"
"259","336","215","281","105","105","0.812","1002.1801235306955","52.5"
"184","648","114","597","93","93","0.826","320.887830869293","46.5"
"573","557","521","519","71","71","0.842","399.50219023179335","35.5"
"685","666","660","622","70","70","0.708","156.28499608087785","35"
"761","713","713","669","73","73","0.622","89.35882720806042","36.5"
"477","330","436","286","82","82","0.751","476.8070888734772","41"
"1263","598","1229","545","101","101","0.821","830.4336216700285","50.5"
"221","743","192","704","48","48","0.916","1052.0403984638613","24"
"543","372","501","293","113","113","1.002","658.2043755551919","56.5"
"1335","491","1318","479","35","35","1.453","800.8901297930946","17.5"
"1315","638","1265","597","69","69","1.313","148.35430563350698","34.5"
"1169","683","1157","641","61","61","0.695","152.7776161615307","30.5"
"1159","211","1103","159","99","99","0.693","472.10592031873523","49.5"
"880","498","836","470","50","50","0.692","400.26241392366586","25"
"201","700","147","677","81","81","0.858","708.4101919086145","40.5"
"725","565","715","555","47","47","0.703","541.1108943645471","23.5"
"812","304","790","280","36","36","0.628","275.118156434649","18"
"1094","407","1041","381","77","77","0.633","300.22158483360255","38.5"
"1309","288","1263","237","93","93","0.666","245.7356303021603","46.5"
"428","205","404","172","64","64","0.769","884.9011244201241","32"
"1083","274","1008","214","98","98","0.712","658.6243238751512","49"
"1190","284","1147","251","55","55","0.607","107.46627377926528","27.5"
"837","86","819","63","55","55","0.713","404.7381869801761","27.5"
"270","95","227","61","53","53","0.775","567.0714240728411","26.5"
"382","371","343","349","61","61","0.72","297.85902705810344","30.5"
"381","406","338","380","48","48","0.703","35.014282800023196","24"
"589","716","539","704","63","63","0.753","373.31488049634453","31.5"
